'Time and date','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','mV',''
'[00:00:00.000 01/01/2011]',-3.648,-3.581,-4.082,-0.237,-3.460,-1.022,-1.619,4.479,-1.958,2.807,2.790,5.206,1.077,7.087,4.313,10.168,-0.228,0.359,2.822,1.291,0.005,0.376
'[00:00:00.002 01/01/2011]',-4.236,-4.279,-4.767,-0.617,-3.709,-1.309,-0.877,5.607,-1.428,3.299,3.797,7.210,2.963,9.160,6.237,12.274,-0.603,4.161,5.311,0.973,0.002,0.376
'[00:00:00.004 01/01/2011]',-4.954,-5.020,-5.784,-1.193,-3.903,-1.524,0.172,7.056,-0.865,3.822,5.143,9.776,5.319,11.769,8.766,14.835,-1.163,8.862,8.367,0.579,-0.003,0.376
'[00:00:00.006 01/01/2011]',-5.704,-5.655,-7.080,-1.928,-4.019,-1.548,1.454,8.670,-0.370,4.274,6.742,12.628,7.871,14.623,11.722,17.598,-1.883,13.700,11.597,0.183,-0.010,0.376
'[00:00:00.008 01/01/2011]',-6.370,-6.045,-8.519,-2.747,-4.076,-1.278,2.843,10.249,-0.029,4.578,8.467,15.416,10.265,17.351,14.857,20.304,-2.682,17.718,14.534,-0.120,-0.018,0.376
'[00:00:00.010 01/01/2011]',-6.847,-6.124,-9.904,-3.532,-4.128,-0.672,4.183,11.589,0.129,4.687,10.184,17.780,12.189,19.610,17.904,22.748,-3.457,20.035,16.759,-0.238,-0.026,0.376
'[00:00:00.012 01/01/2011]',-7.067,-5.901,-11.023,-4.176,-4.237,0.230,5.329,12.533,0.124,4.594,11.777,19.468,13.415,21.120,20.617,24.801,-4.098,20.133,18.023,-0.122,-0.035,0.376
'[00:00:00.014 01/01/2011]',-7.024,-5.468,-11.716,-4.607,-4.423,1.278,6.178,12.982,0.011,4.302,13.147,20.350,13.840,21.718,22.768,26.373,-4.532,18.037,18.267,0.208,-0.043,0.376
'[00:00:00.016 01/01/2011]',-6.767,-4.965,-11.905,-4.828,-4.647,2.236,6.666,12.884,-0.171,3.772,14.200,20.419,13.469,21.336,24.139,27.339,-4.747,14.320,17.605,0.659,-0.050,0.376
'[00:00:00.018 01/01/2011]',-6.391,-4.522,-11.642,-4.939,-4.798,2.812,6.763,12.210,-0.432,2.905,14.844,19.736,12.358,19.949,24.497,27.484,-4.821,9.896,16.230,1.082,-0.056,0.157
'[00:00:00.020 01/01/2011]',-6.015,-4.235,-11.090,-5.105,-4.743,2.724,6.438,10.916,-0.852,1.537,14.966,18.370,10.564,17.545,23.627,26.515,-4.902,5.734,14.318,1.309,-0.060,0.157
'[00:00:00.022 01/01/2011]',-5.747,-4.138,-10.466,-5.524,-4.357,1.774,5.651,8.956,-1.557,-0.517,14.463,16.358,8.129,14.126,21.358,24.132,-5.177,2.541,11.954,1.206,-0.063,0.157
'[00:00:00.024 01/01/2011]',-5.662,-4.220,-9.978,-6.343,-3.572,-0.099,4.350,6.312,-2.663,-3.363,13.263,13.708,5.078,9.724,17.651,20.154,-5.801,0.592,9.135,0.712,-0.064,0.157
'[00:00:00.026 01/01/2011]',-5.775,-4.441,-9.738,-7.598,-2.394,-2.770,2.503,3.039,-4.199,-6.947,11.369,10.445,1.468,4.472,12.666,14.645,-6.842,-0.297,5.817,-0.136,-0.065,0.157
'[00:00:00.028 01/01/2011]',-6.034,-4.751,-9.720,-9.175,-0.894,-5.925,0.143,-0.687,-6.062,-11.008,8.883,6.659,-2.573,-1.384,6.748,7.952,-8.223,-0.592,1.994,-1.217,-0.064,0.157
'[00:00:00.030 01/01/2011]',-6.321,-5.088,-9.771,-10.816,0.825,-9.111,-2.602,-4.563,-8.007,-15.081,5.995,2.547,-6.813,-7.462,0.426,0.672,-9.727,-0.803,-2.230,-2.351,-0.063,0.157
'[00:00:00.032 01/01/2011]',-6.485,-5.382,-9.651,-12.178,2.636,-11.818,-5.491,-8.192,-9.690,-18.596,2.963,-1.589,-10.948,-13.294,-5.697,-6.476,-11.026,-1.246,-6.620,-3.361,-0.062,0.157
'[00:00:00.034 01/01/2011]',-6.366,-5.544,-9.137,-12.915,4.414,-13.585,-8.206,-11.166,-10.758,-21.015,0.047,-5.397,-14.639,-18.414,-11.073,-12.827,-11.783,-1.925,-10.817,-4.111,-0.061,0.157
'[00:00:00.036 01/01/2011]',-5.839,-5.439,-8.092,-12.787,6.026,-14.103,-10.415,-13.179,-10.947,-21.973,-2.537,-8.558,-17.596,-22.468,-15.320,-17.926,-11.730,-2.544,-14.448,-4.547,-0.060,0.000
'[00:00:00.038 01/01/2011]',-4.844,-4.923,-6.525,-11.712,7.346,-13.290,-11.844,-14.095,-10.147,-21.386,-4.658,-10.878,-19.629,-25.269,-18.278,-21.618,-10.750,-2.666,-17.195,-4.698,-0.059,0.000
'[00:00:00.040 01/01/2011]',-3.386,-3.846,-4.580,-9.790,8.271,-11.282,-12.332,-13.983,-8.426,-19.458,-6.269,-12.328,-20.693,-26.833,-20.014,-24.047,-8.904,-1.891,-18.880,-4.661,-0.059,0.000
'[00:00:00.042 01/01/2011]',-1.531,-2.105,-2.474,-7.259,8.755,-8.391,-11.854,-13.089,-5.990,-16.616,-7.384,-13.044,-20.855,-27.345,-20.726,-25.543,-6.401,-0.031,-19.491,-4.557,-0.060,0.000
'[00:00:00.044 01/01/2011]',0.619,0.319,-0.409,-4.417,8.845,-5.011,-10.516,-11.734,-3.105,-13.364,-8.031,-13.260,-20.253,-27.058,-20.654,-26.488,-3.532,2.837,-19.123,-4.493,-0.060,0.000
'[00:00:00.046 01/01/2011]',2.955,3.334,1.503,-1.534,8.710,-1.520,-8.487,-10.225,-0.016,-10.153,-8.224,-13.217,-19.027,-26.216,-19.972,-27.175,-0.580,6.392,-17.944,-4.526,-0.060,0.000
'[00:00:00.048 01/01/2011]',5.385,6.743,3.279,1.195,8.616,1.808,-5.960,-8.763,3.123,-7.272,-7.933,-13.078,-17.268,-24.969,-18.733,-27.727,2.242,10.192,-16.104,-4.655,-0.061,0.000
'[00:00:00.050 01/01/2011]',7.828,10.260,5.048,3.682,8.860,4.823,-3.102,-7.412,6.252,-4.806,-7.123,-12.882,-15.013,-23.369,-16.903,-28.094,4.821,13.816,-13.707,-4.830,-0.061,0.000
'[00:00:00.052 01/01/2011]',10.216,13.568,6.983,5.912,9.700,7.475,-0.034,-6.124,9.370,-2.680,-5.777,-12.559,-12.258,-21.388,-14.415,-28.111,7.127,16.950,-10.807,-4.976,-0.062,0.000
'[00:00:00.054 01/01/2011]',12.484,16.380,9.216,7.908,11.256,9.770,3.151,-4.797,12.494,-0.735,-3.934,-11.977,-9.024,-18.986,-11.263,-27.579,9.172,19.472,-7.456,-5.024,-0.062,0.000
'[00:00:00.056 01/01/2011]',14.556,18.491,11.772,9.675,13.488,11.706,6.365,-3.335,15.595,1.189,-1.721,-11.009,-5.387,-16.160,-7.557,-26.335,10.962,21.426,-3.738,-4.933,-0.063,0.000
'[00:00:00.058 01/01/2011]',16.352,19.811,14.543,11.196,16.178,13.248,9.502,-1.696,18.577,3.187,0.657,-9.583,-1.514,-12.988,-3.546,-24.292,12.483,22.965,0.191,-4.701,-0.063,0.000
'[00:00:00.060 01/01/2011]',17.798,20.376,17.308,12.418,19.008,14.324,12.435,0.094,21.287,5.271,2.947,-7.698,2.354,-9.614,0.431,-21.453,13.687,24.291,4.108,-4.352,-0.064,0.000
'[00:00:00.062 01/01/2011]',18.848,20.329,19.795,13.289,21.634,14.852,15.017,1.965,23.541,7.379,4.892,-5.426,5.938,-6.234,4.009,-17.898,14.532,25.579,7.752,-3.930,-0.064,0.000
'[00:00:00.064 01/01/2011]',19.476,19.867,21.766,13.782,23.764,14.799,17.113,3.820,25.183,9.418,6.283,-2.879,8.972,-3.045,6.882,-13.778,14.995,26.932,10.882,-3.476,-0.064,0.000
'[00:00:00.066 01/01/2011]',19.709,19.201,23.039,13.912,25.224,14.196,18.640,5.564,26.109,11.275,6.997,-0.205,11.264,-0.224,8.851,-9.321,15.103,28.358,13.310,-3.027,-0.063,0.000
'[00:00:00.068 01/01/2011]',19.596,18.518,23.545,13.730,25.954,13.153,19.589,7.111,26.294,12.847,7.009,2.441,12.713,2.098,9.846,-4.827,14.919,29.777,14.936,-2.607,-0.062,0.000
'[00:00:00.070 01/01/2011]',19.211,17.936,23.330,13.316,25.996,11.831,20.048,8.388,25.800,14.045,6.409,4.886,13.335,3.834,9.923,-0.667,14.527,31.057,15.759,-2.238,-0.061,0.000
'[00:00:00.072 01/01/2011]',18.637,17.522,22.504,12.752,25.455,10.399,20.188,9.333,24.757,14.799,5.369,6.962,13.243,4.952,9.236,2.773,14.018,32.048,15.860,-1.942,-0.059,0.000
'[00:00:00.074 01/01/2011]',17.943,17.266,21.239,12.106,24.451,8.995,20.230,9.905,23.347,15.061,4.127,8.522,12.632,5.490,8.023,5.159,13.457,32.629,15.389,-1.747,-0.057,0.000
'[00:00:00.076 01/01/2011]',17.186,17.119,19.706,11.431,23.101,7.698,20.412,10.095,21.767,14.827,2.941,9.470,11.737,5.545,6.574,6.293,12.885,32.732,14.550,-1.675,-0.056,0.000
'[00:00:00.078 01/01/2011]',16.395,17.002,18.062,10.760,21.510,6.533,20.921,9.945,20.208,14.147,2.054,9.802,10.806,5.282,5.188,6.178,12.321,32.363,13.561,-1.738,-0.054,0.000
'[00:00:00.080 01/01/2011]',15.580,16.805,16.437,10.120,19.782,5.490,21.851,9.542,18.816,13.125,1.635,9.599,10.051,4.895,4.151,5.027,11.772,31.589,12.642,-1.929,-0.053,0.000
'[00:00:00.082 01/01/2011]',14.731,16.420,14.919,9.530,18.028,4.544,23.192,9.002,17.674,11.905,1.764,9.031,9.626,4.584,3.686,3.210,11.242,30.501,11.977,-2.217,-0.052,0.000
'[00:00:00.084 01/01/2011]',13.833,15.761,13.554,9.002,16.381,3.676,24.821,8.444,16.789,10.622,2.414,8.311,9.603,4.493,3.904,1.172,10.737,29.198,11.680,-2.552,-0.053,0.000
'[00:00:00.086 01/01/2011]',12.871,14.771,12.368,8.529,14.982,2.872,26.534,7.943,16.097,9.383,3.453,7.628,9.958,4.678,4.803,-0.672,10.249,27.745,11.783,-2.874,-0.054,0.000
'[00:00:00.088 01/01/2011]',11.847,13.449,11.361,8.085,13.955,2.118,28.086,7.507,15.475,8.211,4.690,7.115,10.597,5.096,6.248,-2.026,9.761,26.163,12.224,-3.130,-0.055,0.000
'[00:00:00.090 01/01/2011]',10.788,11.867,10.523,7.621,13.389,1.387,29.242,7.086,14.793,7.061,5.916,6.813,11.360,5.614,8.030,-2.748,9.237,24.427,12.871,-3.281,-0.056,0.000
'[00:00:00.092 01/01/2011]',9.736,10.148,9.845,7.094,13.302,0.638,29.814,6.586,13.939,5.841,6.956,6.682,12.076,6.059,9.901,-2.841,8.642,22.479,13.546,-3.311,-0.056,0.000
'[00:00:00.094 01/01/2011]',8.753,8.462,9.326,6.467,13.634,-0.165,29.686,5.933,12.862,4.462,7.700,6.653,12.594,6.275,11.647,-2.408,7.949,20.269,14.079,-3.221,-0.055,0.000
'[00:00:00.096 01/01/2011]',7.909,6.979,8.976,5.749,14.249,-1.041,28.838,5.109,11.591,2.895,8.129,6.663,12.813,6.172,13.121,-1.601,7.171,17.781,14.332,-3.026,-0.053,0.000
'[00:00:00.098 01/01/2011]',7.267,5.842,8.813,4.995,14.963,-1.976,27.336,4.179,10.235,1.212,8.296,6.699,12.710,5.751,14.258,-0.572,6.356,15.074,14.238,-2.750,-0.050,0.000
'[00:00:00.100 01/01/2011]',6.866,5.126,8.869,4.291,15.580,-2.912,25.340,3.282,8.951,-0.422,8.288,6.806,12.333,5.096,15.062,0.560,5.590,12.290,13.794,-2.419,-0.047,0.000
'[00:00:00.102 01/01/2011]',6.726,4.839,9.153,3.746,15.938,-3.775,23.070,2.593,7.919,-1.783,8.198,7.057,11.783,4.331,15.580,1.691,4.976,9.667,13.055,-2.066,-0.044,0.000
'[00:00:00.104 01/01/2011]',6.830,4.919,9.669,3.443,15.933,-4.483,20.774,2.252,7.268,-2.670,8.076,7.511,11.170,3.574,15.851,2.733,4.599,7.476,12.093,-1.725,-0.042,0.000
'[00:00:00.106 01/01/2011]',7.134,5.254,10.367,3.420,15.543,-4.994,18.690,2.309,7.042,-2.962,7.912,8.156,10.571,2.885,15.869,3.578,4.498,5.973,10.971,-1.440,-0.041,0.000
'[00:00:00.108 01/01/2011]',7.563,5.719,11.156,3.645,14.816,-5.298,16.986,2.688,7.171,-2.684,7.635,8.882,9.998,2.221,15.569,4.095,4.653,5.315,9.714,-1.255,-0.041,0.000
'[00:00:00.110 01/01/2011]',8.023,6.190,11.880,4.021,13.833,-5.425,15.727,3.195,7.477,-2.005,7.142,9.478,9.383,1.461,14.848,4.130,4.972,5.486,8.294,-1.206,-0.043,0.000
'[00:00:00.112 01/01/2011]',8.399,6.565,12.353,4.411,12.693,-5.416,14.853,3.556,7.689,-1.217,6.332,9.681,8.582,0.420,13.580,3.523,5.324,6.280,6.645,-1.312,-0.045,0.000
